no,ra,dec,U,B,V,Teff,Mv,SpecType ,
140,80.92628583,-0.159818611,4.61,5.49,5.7,13830.71005,-2.085094233,b'B2III',
109,92.24126542,2.499690278,5.86,5.8,5.73,9328.332446,-0.516416875,b'B9V',
185,82.47822583,1.789259167,4.74,5.562,5.745,13188.42186,-1.95344324,b'B2V',
162,93.00558875,19.79054139,--,5.689,5.749,10941.16768,-1.804090685,b'B9.5V',
147,89.72181875,12.80826306,--,6.626,5.75,5061.640806,-1.180790891,b'G8III:+A5V',
223,84.14872208,-6.064750556,4.61,5.535,5.75,13957.48966,-2.193838142,b'B1.5',
48,86.71722583,9.522339722,--,6.675,5.768,4977.725732,0.88533246,b'G8III',
78,73.95896458,15.04026167,--,5.701,5.776,11168.81,0.031771774,b'B9V',
87,82.34868583,-3.446393056,7.92,6.93,5.78,4409.234818,0.051560789,b'K1-IIIFe-0.5',
132,80.43150958,8.428555278,4.79,5.67,5.8,12103.30354,-2.161261248,b'B1V',
56,93.47597458,-3.741370833,--,6.753,5.833,4943.40692,0.796717446,b'K0III',
104,84.50466167,7.541416667,5.44,5.788,5.852,11000.85571,-1.426109044,b'B8III',
